division,superintendent,assistant_superintendent,email
Tuguegarao City,GILBERT N. TONG,JONATHAN A. FRONDA,tuguegarao@deped.gov.ph
Aurora,DANTE G. PARUNGAO,ERLEO T. VILLAROS (OIC-ASDS),(f)aurora@deped.gov.ph
Bataan,CAROLINA S. VIOLETA,ARMANDO C. CAPILI,bataan@deped.gov.ph
Baliwag City,ROWENA T. QUIAMBAO (OIC),ERWIN JOHN F. SANTOS (OIC-ASDS),baliwag.city@deped.gov.ph
Bulacan,NORMA P. ESTEBAN,MA. CELINA L. VEGA,bulacan@deped.gov.ph
Nueva Ecija,RONALDO A. POZON,MICHELLE A. MEJICASHIRLEY B. ZIPAGAN,nueva.ecija@deped.gov.ph
Pampanga,ROMEO M. ALIP,LEANDRO C. CANLASCECILIA E. VALDERMA,pampanga@deped.gov.ph
Tarlac,JESSIE D. FERRER,DANILO M. JACOBALOURDES G. DELA CRUZ,tarlac@deped.gov.ph
Zambales,ILYNNE S. SAMONTE,,zambales@deped.gov.ph
Angeles City,EDGARD C. DOMINGO,"ENRIQUE E. ANGELES, JR.",angeles.city@deped.gov.ph
Balanga City,ROLAND M. FRONDA,MAYLENE M. MINIMO,balanga.city@deped.gov.ph
Cabanatuan City,CATALINA P. PAEZ,DONATO B. CHICO (OIC-ASDS),cabanatuan.city@deped.gov.ph
Gapan City,TERESA D. MABABA,ELIZABETH O. LATORILLA (OIC-ASDS),gapan.city@deped.gov.ph
Mabalacat City,MARIA CARMEN P. CUENCO,ROSALIN S. MULI,mabalacat.city@deped.gov.ph
Malolos City,LEILANI S. CUNANAN,FERNANDINA P. OTCHENGCO,"malolos.city@deped,gov.ph"
Meycauayan City,MERLINA P. CRUZ,ZUREX T. BACAY,meycauayan.city@deped.gov.ph
Olongapo City,IMELDA P. MACASPAC (OIC),WILLIAM RODERICK R. FALLORIN,olongapo.city@deped.gov.ph
San Fernando City,LEONARDO D. ZAPANTA,JERRY D. CRUZ,636-4459;sanfernando.city3@deped.gov.ph
San Jose City,ERICSON S. SABACAN,JOE C. PALIOC (OIC-ASDS),sanjose.city@deped.gov.ph
San Jose del Monte,LEONARDO C. CANLAS (OIC),MINA GRACIA L. ACOSTA,sanjosedelmonte.city@deped.gov.ph
Science City of Muñoz,JOHANNA N. GERVACIO,RONILO E. HILARIO,munozscience.city@deped.gov.ph
Tarlac City,MA. IRELYN P. TAMAYO,MELISSA S. SANCHEZ,tarlac.city@deped.gov.ph
1. Batangas,MARITES A. IBAÑEZ,RHINA O. ILAGAN (OIC-ASDS)GREGORIO T. MUECO,deped.batangas@deped.gov.ph
2. Cavite,ROSEMARIE D. TORRES,"ANTONIO P. FAUSTINO, JR. (OIC-ASDS)GREGORIO A. CO, JR.",deped.cavite@deped.gov.ph
3. Laguna,EDITHA M. ATENDIDO,JAYPEE E. LOPO (OIC-ASDS)BUDDY CHESTER M. REPIA (OIC-ASDS),laguna@deped.gov.ph
4. Quezon,ROMMEL C. BAUTISTA,JOEPI F. FALQUEZAROSELYN Q. GOLFO (OIC-ASDS)VENUS T. BALMEDINA (OIC-ASDS),quezon@deped.gov.ph
5. Rizal,DORIS DJ. ESTALILLA,ALONA A. ENCINARES (OIC-ASDS),rizal@deped.gov.ph
6. Antipolo City,LERMA L. FLANDEZ (OIC),"RODRIGO M. RODRIGUEZ, JR. (OIC-ASDS)",antipolo.city@deped.gov.ph
7. Bacoor City,BABYLYN M. PAMBID (OIC),LUALHATI O. CADAVEDO (OIC-ASDS),bacoor.city@deped.gov.ph
8. Batangas City,HERMOGENES M. PANGANIBAN,CATHERINE V. MARANAN (OIC-ASDS),division.batangascity@deped.gov.ph
9. Biñan City,MANUELA S. TOLENTINO,ARLENE S. RICASATA,deped.binancity@deped.gov.ph
10. Cabuyao City,CHRISTOPHER R. DIAZ,RANDY D. PUNZALAN,division.cabuyao@deped.gov.ph
11. Calamba City,MERTHEL M. EVARDOME,NADINE C. CELINDRO (OIC-ASDS),calamba.city@deped.gov.ph
12. Cavite City,"JUAN R. ARAOJO, JR. (OIC)",LITO A. PALOMAR (OIC-ASDS),cavite.city@deped.gov.ph
13. Dasmariñas City,"ELIAS A. ALICAYA, JR. (OIC)",GALILEO L. GO,dasmarinas.city@deped.gov.ph
14. Imus City,HOMER N. MENDOZA (OIC),BERNADETTE T. LUNA,imus.city@deped.gov.ph
15. Lipa City,FELIZARDO O. BALAÑOS,RONALDO V. RAMILO (OIC-ASDS),deped.lipacity@deped.gov.ph
16. Lucena City,SUSAN DL. ORIBIANA,EDENIA O. LIBRANDA (OIC-ASDS),lucena.city@deped.gov.ph
17. San Pablo City,GERLIE M. ILAGAN (OIC),NICOLAS M. BURGOS,sanpablo.city@deped.gov.ph
18. Sta. Rosa City,HEREBERTO JOSE D. MIRANDA,ELVIRA B. CATANGAY (OIC-ASDS),santarosa.city@deped.gov.ph
19. Tanauan City,LOURDES T. BERMUDEZ,JOHN CARLO A. PAITA (OIC-ASDS),tanauan.city@deped.gov.ph
20. Tayabas City,"CELEDONIO B. BALDERAS, JR.",HERBERT D. PEREZ,tayabas.city@deped.gov.ph
21. General Trias City,DAISY Z. MIRANDA,IVAN BRIAN L. INDUCTIVO,division.gentri@deped.gov.ph
1. Marinduque,LYNN G. MENDOZA (OIC),MABEL F. MUSA,records.sdomarinduque@deped.gov.ph
3. Oriental Mindoro,MARIA LUISA D. SERVANDO,FELIX M. FAMARAN,oriental.mindoro@deped.gov.ph
4. Palawan,ELSIE T. BARRIOS,RAFAEL G. MANALORODEL S. MAGNAYE (OIC-ASDS),deped.palawan2@gmail.com
6. Calapan City,SUSANA M. BAUTISTA,MARITES P. PEREZ (OIC-ASDS),calapan.city@deped.gov.ph
7. Puerto Princesa City,LAIDA L. MASCAREÑAS (OIC),RUFINO B. FOZ (OIC-ASDS),puertoprincesa@deped.gov.ph
1. Albay,NENE R. MERIOLES,BERNIE C. DESPABILADEROMARIVIC P. DIAZ,albay@deped.gov.ph
2. Camarines Norte,CRESTITO M. MORCILLA,JOEL E. CAOLBOY,camarines.norte@deped.gov.ph
3.Camarines Sur,NORMA B. SAMANTELA,MARIA FLORA T. PANDESARVIN R. SESE,camarines.sur@deped.gov.ph
4. Catanduanes,CECILE C. FERRO (OIC),,catanduanes@deped.gov.ph
5. Masbate,RAYMUNDO M. CANTOJOS (OIC),MARIA MAGNOLIA F. BRIOSOMARIA SHEILA V. LAGODA (OIC-ASDS),masbate@deped.gov.ph
6. Sorsogon,WILLIAM E. GANDO,WILFREDO J. GAVARRA,sorsogon@deped.gov.ph
7. Iriga City,MARIANO B. DE GUZMAN,MAYLANI L. GALICIA,iriga.city@deped.gov.ph
8. Legazpi City,DANILO E. DESPI,LAURO B. MILLANO,legazpi.city@deped.gov.ph
9. Ligao City,NYMPHA D. GUEMO,MELCHIZEDEK C. TONGCO,ligao.city@deped.gov.ph
10. Masbate City,"NELSON S. MORALES, JR.",JOY G. CABRERA (OIC-ASDS),masbate.city@deped.gov.ph
11. Naga City,SUSAN S. COLLANO,FERNANDO C. MACARAIG,naga.city@deped.gov.ph
12. Sorsogon City,JOSE L. DONCILLO,CHERYLL V. BERMUDO (OIC-ASDS),sorsogon.city@deped.gov.ph
13. Tabaco City,FATIMA D. BUEN (OIC),MA. JEANY T. ABAYON,tabaco.city@deped.gov.ph
1. Aklan,"FELICIANO C. BUENAFE, JR.","RAMON D. PARAS, JR. (OIC-ASDS)",aklan@deped.gov.ph
2. Antique,NICASIO S. FRIO (OIC),ADONIS A. MOSQUERA (OIC-ASDS),antique@deped.gov.ph
3. Capiz,MIGUEL MAC D. APOSIN,LUZ U. BANZON (OIC-ASDS),capiz@deped.gov.ph
4. Guimaras,NOVELYN M. VILCHEZ (OIC),LEA BELLEZA (OIC-ASDS),guimaras@deped.gov.ph
5. Iloilo,"ERNESTO F. SERVILLION, JR. (OIC)",JERSON B. LABOS (OIC-ASDS)MARLON P. DESTREZA (OIC-ASDS)MA. LUNIE B. SAMPANI (OIC-ASDS),iloilo@deped.gov.ph
6. Negros Occidental,ANTHONY H. LIOBET,JULITO L. FELICIANO (OIC-ASDS)DANNIE CLARK M.UGUIL (OIC-ASDS),negros.occidental@deped.gov.ph
7. Bacolod City,REYNALDO G. GICO,LYNEE A. PENAFLOR,bacolod.city@deped.gov.ph
8. Bago City,NERI ANNE. M. ALIBUYOG,ARLENE E. YAP (OIC-ASDS),deped.bagocity@deped.gov.ph
9. Cadiz City,ARLENE G. BERMEJO,RANDOLPH G. ALEMAN (OIC-ASDS),deped.cadizcitydivision@deped.gov.ph
10. Escalante City,RENATO T. BALLESTEROS,MARITES C. CAPILITAN (OIC-ASDS),escalante.city001@deped.gov.ph
11. Iloilo City,MA. LUZ M. DE LOS REYES,RUBY THERESE P. ALMENCION (OIC-ASDS),iloilocitydivision@gmail.com
12. Kabankalan City,MICHELL L. ACOYONG (OIC),MA. TERESA P. GEROSO,kabankalan.city@deped.gov.ph
13. La Carlota City,ERMI V. MIRANDA (OIC),JEN-ANN V. ROSAL(OIC-ASDS),lacarlota.city@deped.gov.ph
14. Passi City,MA. ROSELYN J. PALCAT,FEVI S. FANCO (OIC-ASDS),passi.city@deped.gov.ph
15. Roxas City,ROEL E. BERMEJO,SAMUEL J. MALAYO (OIC-ASDS),deped.roxascity@deped.gov.ph
16. Sagay City,MARSETTE D. SABBALUCA,MARK ANTHONY J. TAN (OIC-ASDS),sagay.city@deped.gov.ph
17. San Carlos City,DENNIS G. DEVELOS (OIC),HEIDELYN P. GEROMIANO (OIC-ASDS),sancarlos.city6@deped.gov.ph
20. Sipalay City,FERDINAND S. SY (OIC),BERNIE L. LIBO-ON (OIC-ASDS),deped.sipalaycity@deped.gov.ph
20. Victorias City,PORTIA M. MALLORCA,ROGER Z. ROCHAR (OIC-ASDS),victorias.city@deped.gov.ph
1. Bohol,CASIANA P. CABERTE (OIC-SDS),FAY C. LUAREZEDUARDO A. OMPAD (OIC-ASDS),deped.bohol@deped.gov.ph
2. Cebu,SENEN P. PAULIN,MICHAELANGELO R. SAURIOMARCELITO S. DIGNOSVICTOR A. YBAÑEZ (OIC-ASDS),cebu@deped.gov.ph
3. Negros Oriental,NERI C. OJASTRO,"ERNESTO ALAS-AS, JR. (OIC-ASDS)ROMMEL VICTOR A. VILLAHERMOSA (OIC-ASDS)",negros.oriental@deped.gov.ph
4. Siquijor,ROSALIE M. PASAOL,JULIET J. TUALA (OIC-ASDS),siquijor@deped.gov.ph
5. Bais City,BERNADETTE A. SUSVILLA (OIC),NILITA L. RAGAY (OIC-ASDS),bais.city@deped.gov.ph
6. Bayawan City,ANELITO G. BONGCAWIL (OIC),ALEX A. PARANE (OIC-ASDS),bayawan.city@deped.gov.ph
7. Bogo City,LEAH P. NOVERAS,KENN NORWAY B. MARZADO (OIC-ASDS),bogo.city@deped.gov.ph
8. Carcar City,CARTESA M. PERICO (OIC),JOEYLIZA M. ARCILLA (OIC-ASDS),carcarcitydivision@yahoo.com
9. Cebu City,NIMFA D. BONGO,ADOLF AGUILAR (OIC-ASDS),cebu.city@deped.gov.ph
10. Danao City,ROSELLER N. GELIG,LORENZO M. DIZON,danao.city@deped.gov.ph
11. Dumaguete City,MARINA S. SALAMANCA (OIC-SDS),EDMARK IAN L. CABIO,dumaguete.city@deped.gov.ph
12. Guihulngan City,ORLANDO G. CADANO,EDUARDO L. LAGOS (OIC-ASDS),guihulngan.city@deped.gov.ph
13. Lapu-Lapu City,MARILYN S. ANDALES,RONALD Y. FERRER (OIC-ASDS),deped.lapulapu@deped.gov.ph
14. Mandaue City,BIANITO A. DAGATAN,DANILO G. GUDELOSAO,mandaue.city001@deped.gov.ph
16. Tagbilaran City,WILFREDA D. BONGALOS,ARIEL JOHN A. LAGURA (OIC-ASDS),tagbilarancity.division@deped.gov.ph
17. Talisay City,ARDEN D. MONISIT,CHRISTINE A. PAQUIBOT,talisaycity.division@deped.gov.ph
19. Toledo City,JOSEPH IRWIN A. LAGURA,FAUSTINO N. TORADIO (OIC-ASDS),toledo.city@deped.gov.ph
1. Biliran,LANI H. CERVANTES,ROBERTO N. MANGALIMAN,depedbiliran@gmail.com
2. Eastern Samar,"GORGONIO G. DIAZ, JR.",ELOISA R. ZARTIGA (OIC-ASDS),eastern.samar@deped.gov.ph
3. Leyte,MARIZA S. MAGAN,"MARIO RODGIE R. SOMBILONTEODORICO C. PELINO, JR. (OIC-ASDS)",leyte@deped.gov.ph
4. Northern Samar,"GAUDENCIO C. ALJIBE, JR. (OIC-SDS)",REY F. BULAWAN,northern.samar@deped.gov.ph
5. Samar (Western),"MOISES D. LABIAN, JR. (OIC-SDS)",JOEL A. ZARTIGA,western.samar@deped.gov.ph
6. Southern Leyte,JOSILYN S. SOLANA,ISIDRO C. CATUBIG (OIC-ASDS),southern.leyte@deped.gov.ph
7. Baybay City,MANUEL P. ALBANO,JOSEMILO P. RUIZ (OIC-ASDS),baybay.city@deped.gov.ph
10. Catbalogan City,CARMELA R. TAMAYO,CRISTA JOY C. ABOGADIE,depedcatbalogancitydivision15@gmail.com
11. Maasin City,GENIS S. MURALLOS,JAIME LEON T. CARDONA (OIC-ASDS),maasin.city@deped.gov.ph
12. Ormoc City,CARMELINO P. BERNADAS,LORELEI A. MASIAS,ormoc.city@deped.gov.ph
13. Tacloban City,SHERLITA A. PALMA (OIC-SDS),HENRIETTA T. MANAGBANAG,tacloban.city@deped.gov.ph
1. Zamboanga del Norte,ROY C. TUBALLA,LOURMA I. POCULANJERRY C. BOKINGKITO (OIC-ASDS),depedzanortedivision@yahoo.com
2. Zamboanga del Sur,JEANELYN A. ALEMAN,MA. JUDELYN J. RAMOSESTRELITA A. PENA (OIC-ASDS),depedzambosur@gmail.com
3. Zamboanga Sibugay,"VIRGILIO P. BATAN, JR.",MA. COLLEEN L. EMORICHA,zamboanga.sibugay@deped.gov.ph
4. Dapitan City,FELIX ROMY A. TRIAMBULO,AURELIO A. SANTISAS (OIC-ASDS),dapitan.city@deped.gov.ph
5. Dipolog City,MA. LIZA R. TABILON,"ROSALIO B. CONTUMO, JR. (OIC-ASDS)",dipolog.city@deped.gov.ph
6. Isabela City,JAY S. MONTEALTO (OIC),MA. LAARNI T. VILLANUEVA,isabela.city@deped.gov.ph
7. Pagadian City,DANNY B. CORDOVA,JUDITH V. ROMAGUERA,pagadian.city@deped.gov.ph
8. Zamboanga City,MAJARANI M. JACINTO,RAYMOND M. SALVADOR,zamboanga.city@deped.gov.ph
1. Bukidnon,VICTORIA V. GAZO,"LANILA M. PALAPARROBERTO D. NAPERE, JR.",bukidnon@deped.gov.ph
2. Camiguin,LOREBINA C. CARRASCO (OIC-SDS),,depedcamiguin@gmail.com
3. . Lanao del Norte,EDWIN R. MARIBOJOC,JAYVY C. VEGAFRIA (OIC-ASDS),lanao.norte@deped.gov.ph
4. Misamis Occidental,"REYNALDO E. MANUEL, JR.",LORENA P. SERRANO,misamis.occidental@deped.gov.ph
5. Misamis Oriental,EDILBERTO L. OPLENARIA,MARY ANN M. ALLERA,misamis.oriental@deped.gov.ph
6. Cagayan de Oro City,ROY ANGELO E. GAZO,AUDIE S. BORRES,cagayandeoro.city@deped.gov.ph
7. El Salvador City,RANDOLPH B. TORTOLA,CONNIEBEL C. NISTAL,elsalvador.city@deped.gov.ph
8. Gingoog City,EDGARDO V. ABANIL,MYRON GIL D. TALOSIG (OIC-ASDS),gingoog.city@deped.gov.ph
9. Iligan City,JONATHAN S. DELA PENA,MYRA P. MEBATO,iligan.city@deped.gov.ph
10. Malaybalay City,CHERRY MAE L. REYES,,malaybalay.city@deped.gov.ph
11. Oroquieta City,JEAN G. VELOSO,"EUGENE I. MACAHIS, JR.",depedoroquieta@gmail.com
12. Ozamis City,NIMFA R. LAGO (OIC),"DIONESIO L. LIWAGON, JR. (OIC-ASDS)",deped1miz@gmail.com
13. Tangub City,SHAMBAEH A. USMAN (OIC),ERLINDA G. DAEL (OIC-ASDS),tangub.city@deped.gov.ph
14. Valencia City,JESNAR DEMS S. TORRES,SUNNY RAY F. AMIT,depedvalencia21@gmail.com
1. Davao de Oro,PHOEBE GAY L. REFAMONTE (OIC-SDS),EMMA A. CAMPOREDONIDO,compostela.valley@deped.gov.ph
2. Davao del Norte,REYNALDO B. MELLORIDA,JANETTE G. VELOSO,tagum.city@deped.gov.ph
3. Davao del Sur,LORENZO E. MENDOZA,MARILYN V. DEDUYO,deped.davsur@gmail.com
6. Davao City,REYNANTE A. SOLITARIO,REBECCA C. SAGOTJOSIE T. BOLOFER,davao.city@deped.gov.ph
7. Digos City,MELANIE P. ESTACIO (OIC),MARIA GENEVIEVE T. FRANCISQUETE,digos.city@deped.gov.ph
8. Mati City,WINNIE E. BATOON,ANTONIO P. DELOS REYES,mati.city@deped.gov.ph
9. Panabo City,JINKY B. FIRMAN (OIC),"BASILIO P. MANA-AY, JR.",panabo.city@deped.gov.ph
10. Samal City,NELSON C. LOPEZ,GAY P. TAGUIRAN (OIC-ASDS),samalcity@deped.gov.ph
11. Tagum City,ALONA C. UY,NIEL MICHAEL A. DE ASIS (OIC-ASDS),tagum.city@deped.gov.ph
1. Cotabato,ROMELITO G. FLORES,CARLOS G. SUSARNOJOVEN RYAN G. MALIDA (OIC-ASDS),cotabato.division@deped.gov.ph
2. Saranggani,RUTH L. ESTACIO,NELYN B. FRINAL,saranggani@deped.gov.ph
3.  South Cotabato,LEONARDO M. BALALA,LEVI B. BUTIHEN,south.cotabato@deped.gov.ph
4. Sultan Kudarat,"CRISPIN A. SOLIVEN, JR.",MEILROSE B. PERALTA,sultan.kudarat@deped.gov.ph
5. General Santos City,ISAGANI S. DELA CRUZ,MERVIE Y. SEBLOS (OIC-ASDS),generalsantos.city@deped.gov.ph
6. Kidapawan City,"MIGUEL P. FILLALAN, JR.",JASMIN P. ISLA,kidapawan.city@deped.gov.ph
7. Koronadal City,ROBERTO J. MONTERO (OIC-ASDS),NERISSA A. ALFAFARA,koronadal.city@deped.gov.ph
1. Agusan del Norte,JEANIE L. MATIVO,HECTOR D. MACALALAG,agusannorte@deped.gov.ph
2. Agusan del Sur,JOSITA B. CARMEN,MARILOU A. LAURENCIO (OIC-ASDS),depedagusandelsur@deped.gov.ph
4. Surigao del Norte,MANUEL O. CABERTE (OIC),"SEGUNDINO A. MADJOS, JR.",surigao.delnorte@deped.gov.ph
5. Surigao del Sur,LORENZO O. MACASOCOL,LAILA F. DANAQUE,surigao.delsur@deped.gov.ph
6. Bayugan City,MA. TERESA M. REAL (OIC),CORAZON P. ROA,deped.bayugan@gmail.com
7. Bislig City,GEMMA A. DE PAZ (OIC),GLORIA B. EDEROSAS (OIC-ASDS),bislig.city@deped.gov.ph
8. Butuan City,MINERVA T. ALBIS,LEONEVEE V. SILVOSA,butuan.city@deped.gov.ph
9. Cabadbaran City,IMELDA N. SABORNIDO,LOVE EMMA B. SUDARIO (OIC-ASDS),cabadbaran.city@deped.gov.ph
10. Siargao,KAREN L. GALANIDA,ROEL T. DIAMANTE (OIC-ASDS),siargao@deped.gov.ph
11. Surigao City,MARILOU B. DEDUMO,GILBERT L. GAYRAMA,surigao.city@deped.gov.ph
12. Tandag City,GREGORIA T. SU,JASMIN R. LACUNA,tandag.city@deped.gov.ph
1. Abra,"AMADOR D. GARCIA, SR.",CHRISTOPHER C. BENIGNO,abra@deped.gov.ph
2. Apayao,IRENE S. ANGWAY,JERRY B. SARIO [OIC-ASDS],apayao@deped.gov.ph
3. Benguet,SALLY B. ULLALIM,"SAMUEL T. EGSAEN, JR.",benguet@deped.gov.ph
4. Ifugao,GLORIA B. BUYA-AO,VIRGINIA A. BATAN,ifugao@deped.gov.ph
6. Mt. Province,BENILDA M. DAYTACA,PIO D. ECUAN (OIC-ASDS),mt.province@deped.gov.ph
7. Baguio City,SORAYA T. FACULO (OIC),CARMEL F. MERIS (OIC-ASDS),baguio.city@deped.gov.ph
8. Tabuk City,BENEDICTA B. GAMATERO,JAN NOWEL E. PEÑA [OIC-ASDS],Citytabuk.city@deped.gov.ph
1. Caloocan City,JENILYN ROSE B. CORPUZ,BRIAN E. ILAN (OIC-ASDS)WARREN A. RAMOS (OIC-ASDS),caloocan.city@deped.gov.ph
2. Las Piñas City,LORETA B. TORRECAMPO,MELODY P. CRUZ,laspinas.city@deped.gov.ph
3. Makati City,MA. EVALOU CONCEPCION A. AGUSTIN,FLORDELISA D. PEREYRA,makati.city@deped.gov.ph
4. Malabon City,CECILLE G. CARANDANG,RUSTICA R. LORENZO (OIC-ASDS),malabon.city@deped.gov.ph
5.  Mandaluyong City,ROMELA M. CRUZ,CHARLIE FABABAER (OIC-ASDS),sdo.mandaluyong@deped.gov.ph
6. Manila,RITA E. RIDDLE,AURELIO G. ALFONSONERISSA R. LORNEDA (OIC-ASDS),manila@deped.gov.ph
7. Marikina City,CYNTHIA L. AYLES (OIC),JENNIFER F. VIVAS (OIC-ASDS),sdo.marikina@deped.gov.ph
8. Muntinlupa City,VIOLETA M. GONZALES (OIC),,sdo.muntinlupa@gmail.com
9. Navotas City,MELITON P. ZURBANO,ELADIO H. ESCOLANO (OIC-ASDS),navotas.city@deped.gov.ph
10. Parañaque City,NERISSA L. LOSARIA,CAROLINA T. RIVERA,paranaque.city@deped.gov.ph
11. Pasay City,JOEL T. TORRECAMPO (OIC),QUINN NORMAN O. ARREZA (OIC-ASDS),depedpasaycity@yahoo.com
12. Pasig City,SHERYLL T. GAYOLA,JAY F. MACASIEB,pasig.city@deped.gov.ph
13. Quezon City,CARLEEN S. SEDILLA,JUAN C. OBIERNAISABELLE S. SIBAYAN (OIC-ASDS),quezon.city@deped.gov.ph
14. San Juan City,MARGARITO B. MATERUM,ANGELITA P. CORNEJO (OIC-ASDS),depedsanjuan@gmail.com
15. Taguig City - Pateros,ALEJANDRO G. IBAÑEZ,ARTURO A. TOLENTINO,taguig.pateros@deped.gov.ph
16. Valenzuela City,NOEL D. BAGANO (OIC),ERNEST JOSEPH C. CABRERA (OIC-ASDS),valenzuela.city@deped.gov.ph
1. Lanao del Sur I,NORMILLAH R. PANGANDAMAN,SORAIDA B. NOORSAHANEE M. SUMAGAYAN,sdsmilar@gmail.com
2. Lanao del Sur II,IMELDA P. BALT,NORDINA M. SARIPBAIRON L. DISOMANGCOP,zpampatuan@gmail.com
3. Maguindanao I,HADJA BAI MERIAM A. KAWIT,PAHARUDIN Z. AKOT,deped_maguindanao@yahoo.com
4. Maguindanao II,BAI ALIBAI B. ALIUDEN,,division2maguindanao@yahoo.com
5.  Sulu,TIM UNDAIN-SANCHEZ,SAUDI JANANGDELFIN M. UNGA,depedsulu1@yahoo.com
9. Lamitan City,SAUDI E. DALU,,deped.lamitan@gmail.com
10. Cotabato City,CONCEPCION F. BALAWAG,EDGAR S. SUMAPAL [OIC-ASDS],cotabato.city@deped.gov.ph
